feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
C9orf78,1.20E-58,0.036963258,0.701,0.781,4.03E-54,0.036963258
FCER1G,3.10E-18,0.036976376,0.174,0.19,1.05E-13,0.036976376
PTPN6,9.28E-69,0.037039769,0.413,0.483,3.13E-64,0.037039769
YTHDC1,1.28E-65,0.037052413,0.491,0.565,4.32E-61,0.037052413
CIAPIN1,2.71E-71,0.037098704,0.408,0.468,9.13E-67,0.037098704
PLAUR,1.39E-30,0.037120454,0.162,0.177,4.68E-26,0.037120454
PRPF38B,1.07E-65,0.037137102,0.575,0.657,3.61E-61,0.037137102
RPL7L1,6.64E-55,0.037171081,0.635,0.709,2.24E-50,0.037171081
FTL,2.49E-07,0.03728942,1,0.999,0.008392191,0.03728942
RPS5,1.94E-18,0.037291149,1,0.999,6.52E-14,0.037291149
HMGCS1,1.73E-40,0.037416713,0.283,0.317,5.83E-36,0.037416713
SF3B1,8.92E-56,0.037490803,0.641,0.716,3.00E-51,0.037490803
PMM2,6.26E-56,0.037520635,0.263,0.293,2.11E-51,0.037520635
CHKA,1.94E-50,0.037663328,0.216,0.237,6.52E-46,0.037663328
HNRNPM,1.78E-21,0.037744175,0.897,0.934,5.99E-17,0.037744175
MRPL12,7.17E-40,0.037777853,0.742,0.806,2.42E-35,0.037777853
TXNRD1,1.70E-57,0.037847845,0.395,0.45,5.73E-53,0.037847845
EIF5,7.56E-46,0.037885839,0.754,0.822,2.55E-41,0.037885839
DDIT4,2.67E-38,0.037925154,0.132,0.153,8.99E-34,0.037925154
CCT8,2.47E-28,0.0379559,0.91,0.952,8.34E-24,0.0379559
ERP29,5.04E-52,0.037993443,0.769,0.845,1.70E-47,0.037993443
PHGDH,6.88E-42,0.038047304,0.69,0.757,2.32E-37,0.038047304
PRKCSH,3.50E-78,0.038242366,0.543,0.63,1.18E-73,0.038242366
CMSS1,1.14E-56,0.038286496,0.621,0.692,3.84E-52,0.038286496
TCEB2,3.07E-10,0.038295925,0.976,0.989,1.03E-05,0.038295925
LRPPRC,5.51E-67,0.038529812,0.452,0.52,1.86E-62,0.038529812
AUP1,4.90E-69,0.03858026,0.557,0.634,1.65E-64,0.03858026
TECR,2.07E-61,0.038633266,0.638,0.715,6.97E-57,0.038633266
BSG,5.95E-45,0.03864483,0.809,0.875,2.00E-40,0.03864483
TMA7,7.90E-06,0.038652391,0.992,0.996,0.266090717,0.038652391
CCDC124,1.94E-55,0.038696989,0.642,0.716,6.53E-51,0.038696989
CD63,2.42E-12,0.038705094,0.952,0.976,8.16E-08,0.038705094
C8orf82,3.49E-39,0.038723474,0.171,0.175,1.17E-34,0.038723474
CRNDE,1.28E-33,0.038771113,0.179,0.186,4.31E-29,0.038771113
HN1,1.14E-31,0.038875302,0.688,0.742,3.85E-27,0.038875302
SLC16A3,4.13E-32,0.038905193,0.136,0.143,1.39E-27,0.038905193
CD84,5.54E-27,0.038935714,0.188,0.192,1.87E-22,0.038935714
TGOLN2,3.85E-65,0.03895155,0.381,0.439,1.30E-60,0.03895155
RABL6,2.10E-68,0.038960973,0.423,0.485,7.08E-64,0.038960973
ECE2,3.47E-61,0.038998866,0.214,0.243,1.17E-56,0.038998866
MYH9,1.22E-64,0.039111907,0.471,0.539,4.10E-60,0.039111907
AIP,5.16E-83,0.039131046,0.433,0.509,1.74E-78,0.039131046
TNFSF13B,6.14E-72,0.039159602,0.47,0.546,2.07E-67,0.039159602
PSMD8,1.48E-29,0.039173765,0.879,0.925,4.99E-25,0.039173765
LAS1L,5.34E-66,0.039182075,0.398,0.457,1.80E-61,0.039182075
NAA10,2.92E-61,0.039231726,0.669,0.748,9.82E-57,0.039231726
ATAD2,8.04E-51,0.039259936,0.514,0.582,2.71E-46,0.039259936
HRH2,4.06E-50,0.039266561,0.185,0.198,1.37E-45,0.039266561
IER2,1.92E-48,0.039283991,0.394,0.446,6.47E-44,0.039283991
SAMM50,9.25E-74,0.03929633,0.551,0.63,3.12E-69,0.03929633
EPN1,9.61E-60,0.039302763,0.423,0.476,3.24E-55,0.039302763
EBP,2.50E-43,0.039375628,0.709,0.771,8.42E-39,0.039375628
TFDP1,4.60E-69,0.039446274,0.554,0.635,1.55E-64,0.039446274
ILF3,2.88E-59,0.039491301,0.737,0.816,9.69E-55,0.039491301
