feature,p_val,avg_logFC,pct.1,pct.2,p_val_adj,avg_log2FC
MCM7,1.63E-34,0.078389852,0.82,0.852,5.48E-30,0.078389852
RPL37A,1.87E-101,0.080301814,1,1,6.30E-97,0.080301814
PRSS57,1.84E-21,0.082287531,0.912,0.941,6.19E-17,0.082287531
SRM,5.46E-24,0.082290489,0.924,0.938,1.84E-19,0.082290489
COTL1,1.44E-66,0.082374077,0.668,0.721,4.86E-62,0.082374077
RPL17,3.07E-75,0.083387467,0.729,0.788,1.03E-70,0.083387467
EIF3A,2.44E-50,0.085408214,0.888,0.935,8.23E-46,0.085408214
HSPD1,7.14E-25,0.08583561,0.973,0.984,2.41E-20,0.08583561
ANXA1,6.15E-64,0.087123361,0.556,0.625,2.07E-59,0.087123361
MYB,7.57E-68,0.087475505,0.406,0.427,2.55E-63,0.087475505
SERBP1,1.01E-26,0.087567375,0.975,0.986,3.41E-22,0.087567375
PA2G4,9.66E-24,0.087673965,0.968,0.979,3.25E-19,0.087673965
CST7,7.97E-23,0.088878906,0.105,0.073,2.68E-18,0.088878906
NME2,1.96E-73,0.089193933,0.302,0.293,6.61E-69,0.089193933
C4orf48,1.48E-70,0.089596273,0.761,0.819,4.98E-66,0.089596273
TRIM28,2.71E-42,0.09095702,0.802,0.822,9.14E-38,0.09095702
TIMP1,1.30E-56,0.090968463,0.71,0.8,4.38E-52,0.090968463
UBE2M,8.70E-43,0.091888252,0.777,0.795,2.93E-38,0.091888252
APLP2,7.68E-81,0.092053455,0.54,0.582,2.59E-76,0.092053455
FARSA,1.82E-83,0.09304917,0.547,0.589,6.14E-79,0.09304917
UQCRQ,4.14E-24,0.093768036,0.975,0.98,1.40E-19,0.093768036
SLIRP,3.07E-32,0.094973017,0.941,0.96,1.03E-27,0.094973017
SAMD1,6.85E-76,0.095137908,0.484,0.51,2.31E-71,0.095137908
MYDGF,4.91E-86,0.095660471,0.704,0.779,1.65E-81,0.095660471
RPL36A,3.05E-29,0.095948064,0.98,0.987,1.03E-24,0.095948064
SNHG19,1.37E-53,0.097285753,0.539,0.562,4.62E-49,0.097285753
RP11-620J15.3,2.51E-66,0.097854176,0.721,0.774,8.44E-62,0.097854176
NUCB2,2.10E-25,0.098253871,0.935,0.949,7.08E-21,0.098253871
CLEC11A,1.23E-51,0.098722392,0.292,0.3,4.15E-47,0.098722392
MATK,6.66E-76,0.099522628,0.513,0.537,2.24E-71,0.099522628
UBE2S,3.62E-30,0.100924569,0.671,0.689,1.22E-25,0.100924569
MT-ND6,2.06E-68,0.1087549,0.678,0.718,6.95E-64,0.1087549
PLIN2,6.92E-46,0.10916873,0.345,0.372,2.33E-41,0.10916873
HCST,1.59E-66,0.110197719,0.6,0.633,5.36E-62,0.110197719
SERPINB1,3.72E-48,0.112895168,0.873,0.921,1.25E-43,0.112895168
MT-ND3,1.83E-88,0.115804936,0.999,0.999,6.17E-84,0.115804936
AC090498.1,1.21E-85,0.117365059,0.742,0.784,4.07E-81,0.117365059
NDUFA13,1.17E-83,0.121099425,0.782,0.817,3.94E-79,0.121099425
HSPA5,4.27E-61,0.121370445,0.72,0.754,1.44E-56,0.121370445
CEBPA,7.00E-57,0.121999179,0.31,0.279,2.36E-52,0.121999179
RPS10,1.22E-63,0.127186858,0.997,0.997,4.11E-59,0.127186858
NAA38,1.49E-64,0.129807115,0.884,0.909,5.01E-60,0.129807115
NPW,5.39E-58,0.132081386,0.571,0.595,1.82E-53,0.132081386
IGFBP2,5.73E-33,0.139853908,0.297,0.3,1.93E-28,0.139853908
FAM101B,2.70E-81,0.140632749,0.668,0.712,9.09E-77,0.140632749
CTSG,2.19E-53,0.140739864,0.364,0.353,7.37E-49,0.140739864
GATA2,7.04E-40,0.15247075,0.263,0.278,2.37E-35,0.15247075
P4HB,4.67E-87,0.164168723,0.802,0.843,1.57E-82,0.164168723
HIST1H4C,1.14E-17,0.194650205,0.951,0.96,3.85E-13,0.194650205
MIF,1.66E-125,0.204303311,0.978,0.979,5.58E-121,0.204303311
SRGN,3.58E-73,0.220963106,0.595,0.683,1.21E-68,0.220963106
CALR,1.73E-65,0.249666288,0.959,0.963,5.82E-61,0.249666288
MPO,9.50E-34,0.286658752,0.107,0.051,3.20E-29,0.286658752
IGLL1,2.37E-82,0.393755166,0.564,0.541,7.98E-78,0.393755166
