"aml_aavs1.genes.results"	"aml_aavs2.genes.results"	"aml_aavs3.genes.results"	"aml_mecom1.genes.results"	"aml_mecom2.genes.results"	"aml_mecom3.genes.results"
"ENSG00000004700_RECQL"	52.0363369178575	65.7622458415349	71.2166484482797	44.2838394344436	62.112323028547	49.5591420170549
"ENSG00000004766_VPS50"	32.3644064118638	37.9221540943431	29.5040400714302	29.7500600824162	31.3740299758711	27.3072412922456
"ENSG00000004776_HSPB6"	1.40714810486364	0	1.01738069211828	0.875001767129887	0.825632367786083	0.700185674160143
"ENSG00000004777_ARHGAP33"	29.5501102021365	52.3064194404732	22.3823752266022	61.2501236990921	66.0505894228866	49.7131828653702
"ENSG00000004779_NDUFAB1"	174.486365003092	217.071640677964	179.059001812818	232.75047005655	208.059356682093	224.759601405406
"ENSG00000004799_PDK4"	0	2.61532097202366	7.12166484482797	0.875001767129887	3.30252947114433	1.40037134832029
"ENSG00000004809_SLC22A16"	5.62859241945457	2.61532097202366	6.10428415270969	0.875001767129887	2.47689710335825	4.20111404496086
"ENSG00000004838_ZMYND10"	4.22144431459093	3.92298145803549	5.08690346059141	6.12501236990921	8.25632367786083	7.00185674160143
"ENSG00000004846_ABCB5"	4.22144431459093	3.92298145803549	4.06952276847313	1.75000353425977	4.12816183893041	2.10055702248043
"ENSG00000004848_ARX"	0	3.92298145803549	2.03476138423656	0.875001767129887	1.65126473557217	1.40037134832029
"ENSG00000004864_SLC25A13"	56.2859241945457	52.3064194404732	70.1992677561614	70.000141370391	66.8762217906727	76.3202384834556
"ENSG00000004866_ST7"	71.7645533480458	71.8167138917697	51.6117225111604	47.2500954250139	63.5736923195284	59.5157823036122
"ENSG00000004897_CDC27"	132.271921857182	155.572368020827	131.211587862495	148.750300412081	151.090723304853	169.430929433271
"ENSG00000004939_SLC4A1"	2.81429620972729	6.53830243005915	4.06952276847313	1.75000353425977	4.12816183893041	0.700185674160143
"ENSG00000004948_CALCR"	0	1.30766048601183	1.01738069211828	0	0.825632367786083	1.40037134832029
"ENSG00000004961_HCCS"	30.9572583070001	37.9221540943431	30.5214207635484	33.2500671509357	38.8047212859459	42.7113261237687
"ENSG00000004975_DVL2"	83.0217381869549	61.460042842556	90.546881598527	71.7501449046507	80.08633967525	84.7224665733773
"ENSG00000005001_PRSS22"	2.81429620972729	1.30766048601183	4.06952276847313	1.75000353425977	0.825632367786083	0.700185674160143
"ENSG00000005007_UPF1"	194.186438471183	231.455906024094	213.649945344839	197.750399371354	188.244179855227	212.856444944684
"ENSG00000005020_SKAP2"	289.87250960191	273.301041576473	230.94541711085	253.750512467667	254.294769278114	223.359230057086
"ENSG00000005022_SLC25A5"	1343.82644014478	1212.20127053297	1226.96111469465	1387.752802668	1177.35175646295	1307.24665365699
"ENSG00000005059_MCUB"	30.0426120388388	30.0761911782721	46.7995118374409	28.8750583152863	37.9790889181598	38.2021303821774
"ENSG00000005073_HOXA11"	23.9215177826819	18.3072468041656	15.0775818571929	26.3988033143087	14.0357502523634	21.0055702248043
"ENSG00000005075_POLR2J"	136.915510603232	129.236085832549	127.498148336263	141.120285002708	138.062244541189	143.881154183168
"ENSG00000005100_DHX33"	81.6145900820913	82.3826106187453	87.4947395221722	87.5001767129887	105.680943076619	100.826737079061
"ENSG00000005102_MEOX1"	1.40714810486364	0	0	3.50000706851955	0	4.20111404496086
"ENSG00000005108_THSD7A"	5.62859241945457	6.53830243005915	12.2085683054194	7.87501590416898	4.12816183893041	0
"ENSG00000005156_LIG3"	85.3998184841745	82.0295422875221	92.2052121266798	77.1489058078422	91.24063296404	105.37094210436
"ENSG00000005175_RPAP3"	170.264920688501	101.997517908923	136.32901274385	136.500275672262	115.588531490052	128.834164045466
"ENSG00000005187_ACSM3"	7.03574052431821	5.23064194404732	14.2433296896559	13.4137770901012	16.5126473557217	18.2048275281637
"ENSG00000005189_REXO5"	15.4786291535001	7.84596291607098	19.3302331502473	21.8750441782472	29.722765240299	23.1061272472847
"ENSG00000005194_CIAPIN1"	144.936254800955	124.227746171124	114.964018209366	153.12530924773	123.019222800126	161.042705056833
"ENSG00000005206_SPPL2B"	188.557846051728	133.381369573207	135.311632051731	182.875369330146	181.639120912938	165.243819101794
"ENSG00000005238_FAM214B"	19.700073468091	28.7685306922603	26.4518979950753	17.5000353425977	20.6408091946521	17.5046418540036
"ENSG00000005243_COPZ2"	0	1.30766048601183	0	1.75000353425977	0	0
"ENSG00000005249_PRKAR2B"	1.40714810486364	5.23064194404732	2.03476138423656	2.62500530138966	0.825632367786083	2.10055702248043
"ENSG00000005302_MSL3"	81.6145900820913	61.460042842556	70.1992677561614	91.0001837815083	80.08633967525	82.6219095508969
"ENSG00000005339_CREBBP"	181.52210552741	257.609115744331	239.084462647796	171.500346357458	199.803033004232	183.448646629957
"ENSG00000005379_TSPOAP1"	121.014737018273	192.226091443739	123.103063746312	1142.58605753588	1361.39346756615	1106.29336517303
"ENSG00000005381_MPO"	274.39388044841	498.218645170507	317.422775940904	3986.50805104377	3727.73014055416	4536.50298288357
"ENSG00000005421_PON1"	1.40714810486364	0	0	0.875001767129887	0	0.700185674160143
"ENSG00000005436_GCFC2"	54.9491334949252	39.2298145803549	50.8690346059141	45.5000918907541	46.2354125960206	49.01299719121
"ENSG00000005448_WDR54"	77.3931457675003	65.3830243005915	82.4078360615808	59.5001201648323	80.08633967525	87.5232092700179
"ENSG00000005469_CROT"	11.2571848389091	6.53830243005915	19.3302331502473	11.3750229726885	12.3844855167912	11.9031564607224
"ENSG00000005471_ABCB4"	1.40714810486364	10.4612838880946	6.10428415270969	1.75000353425977	0	0
"ENSG00000005483_KMT2E"	330.440589465129	292.772106213189	264.518979950753	246.715498259943	283.943227605312	271.672041574136
"ENSG00000005486_RHBDD2"	78.800293872364	41.8451355523786	68.1645063719248	70.000141370391	56.1430010094536	63.0167106744129
"ENSG00000005513_SOX8"	1.40714810486364	10.4612838880946	7.12166484482797	5.25001060277932	4.9537942067165	1.40037134832029
"ENSG00000005700_IBTK"	123.829033228001	87.6132525627926	81.3904553694625	105.000212055586	92.4708251920413	117.631193258904
"ENSG00000005801_ZNF195"	120.986594056176	116.381783255053	96.6511657512367	91.8751855486381	86.6913986175387	79.8211668542563
"ENSG00000005810_MYCBP2"	333.494100852683	423.616614443532	335.460935612161	551.942364687862	540.607561778971	534.220663813964
