"lthsc_aavs1.genes.results"	"lthsc_aavs2.genes.results"	"lthsc_aavs3.genes.results"	"lthscr_mecom1.genes.results"	"lthscr_mecom2.genes.results"	"lthscr_mecom3.genes.results"
"ENSG00000004455_AK2"	370.527165531081	306.810323622529	344.354282674799	445.00605636748	447.776211680255	407.563239421016
"ENSG00000004468_CD38"	32.5976978473091	8.04371634965432	7.8773855513843	10.9878038609254	20.4931904659156	17.0113352106163
"ENSG00000004478_FKBP4"	437.830545686492	441.680464759519	401.746663120599	573.224570921263	665.096249976057	668.056397889916
"ENSG00000004487_KDM1A"	143.42987052816	178.11086202806	145.168962304082	180.383113383526	145.501652308001	155.93723943065
"ENSG00000004534_RBM6"	107.57240289612	145.935996629443	155.297029441576	118.118891504949	127.057780888676	149.557988726668
"ENSG00000004660_CAMKK1"	23.90497842136	25.2802513846279	23.6321566541529	29.3008102958012	24.5918285590987	36.8578929563354
"ENSG00000004700_RECQL"	127.68518246791	107.751326015298	149.546537989066	129.674398565355	101.656471306174	112.89856134779
"ENSG00000004766_VPS50"	39.117237416771	42.5167864196014	33.760223791647	35.7103625480077	26.6411476056902	30.4786422523542
"ENSG00000004776_HSPB6"	1.87980057586149	2.29820467132981	1.1253407930549	1.6207010694865	4.09863809318311	2.47373166187712
"ENSG00000004777_ARHGAP33"	42.3770072015019	48.2622980979259	42.7629501360862	38.4573135132391	43.0356999784227	41.8195323927651
"ENSG00000004779_NDUFAB1"	124.957841748018	135.594075608459	122.662146442984	162.985757270394	206.981223705747	201.300799992293
"ENSG00000004799_PDK4"	8.69271942594911	8.04371634965432	10.1280671374941	3.66260128697515	2.04931904659156	4.25283380265408
"ENSG00000004809_SLC22A16"	45.6367769862328	40.2185817482716	47.2643133083058	41.2042644784704	37.9124023619438	38.9843098576624
"ENSG00000004838_ZMYND10"	8.69271942594911	5.74551167832451	11.253407930549	10.0721535391817	9.221935709662	2.83522253510272
"ENSG00000004846_ABCB5"	9.77930935419274	12.6401256923139	10.1280671374941	3.66260128697515	6.14795713977467	8.66160484473881
"ENSG00000004848_ARX"	2.17317985648728	8.04371634965432	5.6267039652745	9.15650321743787	7.17261666307045	4.25283380265408
"ENSG00000004864_SLC25A13"	103.226043183146	74.6916518182187	79.8991963068979	78.7459276699657	79.9234428170707	75.1333971802221
"ENSG00000004866_ST7"	58.6758561251565	40.2185817482716	49.5149948944156	38.4298440035867	36.5496051959604	57.2147907583729
"ENSG00000004897_CDC27"	220.577755433459	187.234734573239	196.934638784608	170.136986283213	190.514945166384	171.495523092026
"ENSG00000004939_SLC4A1"	7.60612949770547	5.74551167832451	7.8773855513843	4.57825160871893	3.07397856988733	4.96163943642976
"ENSG00000004948_CALCR"	6.51953956946183	2.29820467132981	9.0027263444392	5.49390193046272	4.09863809318311	4.25283380265408
"ENSG00000004961_HCCS"	21.7317985648728	25.2802513846279	41.6376093430313	37.5416631914953	40.9863809318311	34.7314760550083
"ENSG00000004975_DVL2"	89.1003741159783	96.5245961958518	65.2697659971842	92.4806824961225	94.2686761432116	87.1830929544086
"ENSG00000005001_PRSS22"	3.25976978473091	1.1491023356649	2.2506815861098	0.915650321743787	5.12329761647889	3.5440281688784
"ENSG00000005007_UPF1"	103.226043183146	129.848563930134	82.1498778930077	114.456290217973	119.885164225606	139.634709853809
"ENSG00000005020_SKAP2"	187.980057586149	170.067145678406	157.547711027686	167.564008879113	210.055202275635	154.519628163098
"ENSG00000005022_SLC25A5"	1013.78840305131	995.122622685806	1114.08738512435	1150.97245443194	1255.20791603733	1241.82747037499
"ENSG00000005059_MCUB"	153.209179882353	142.488689622448	151.921007062412	158.343410139153	176.241438006874	183.580659147901
"ENSG00000005073_HOXA11"	7.20409122425532	5.74551167832451	10.904552284702	9.15650321743787	6.14795713977467	4.47256354912454
"ENSG00000005075_POLR2J"	56.3831513765624	69.5321823310833	67.4304203198496	84.8441588127793	88.9916795982383	107.447846024055
"ENSG00000005100_DHX33"	92.3601439007092	91.9281868531922	88.9019226513371	108.046737965767	107.589249946057	97.1063718272682
"ENSG00000005102_MEOX1"	7.60612949770547	4.59640934265961	2.2506815861098	3.66260128697515	3.07397856988733	4.96163943642976
"ENSG00000005108_THSD7A"	20.6452086366291	22.9820467132981	28.1335198263725	17.397356113132	14.3452333261409	9.21447323908384
"ENSG00000005156_LIG3"	127.32660779159	117.185456191107	149.287709606663	147.575362355446	122.344347081516	124.49462151636
"ENSG00000005175_RPAP3"	113.005352537338	102.270107874176	114.7847608916	119.034541826692	116.811185655719	90.0183154895114
"ENSG00000005187_ACSM3"	51.24358101597	22.9016095498015	21.4940091473486	33.9797834399119	33.8240108639936	31.4284418016137
"ENSG00000005189_REXO5"	24.9915683496037	32.1748653986173	41.6376093430313	36.6260128697515	32.7891047454649	34.0226704212326
"ENSG00000005194_CIAPIN1"	98.8796834701711	124.10305225181	95.6539674096665	128.19104504413	117.835845179014	116.952929572987
"ENSG00000005206_SPPL2B"	90.186964044222	99.9719032028465	109.158056926325	107.131087644023	109.638568992648	107.029650700128
"ENSG00000005238_FAM214B"	26.0781582778473	18.3856373706384	18.0054526888784	18.3130064348757	19.4685309426198	17.720140844392
"ENSG00000005243_COPZ2"	2.17317985648728	2.29820467132981	1.1253407930549	1.83130064348757	2.04931904659156	3.5440281688784
