"lthsc_aavs1.genes.results"	"lthsc_aavs2.genes.results"	"lthsc_aavs3.genes.results"	"lthsc_mecom1.genes.results"	"lthsc_mecom2.genes.results"	"lthsc_mecom3.genes.results"
"ENSG00000003056_M6PR"	226.020751545157	244.610942905333	253.587587179631	265.458204022227	235.453069057896	239.789632410053
"ENSG00000003096_KLHL13"	33.6340404085055	43.7436812896684	31.9575326802545	32.4764368155374	41.1815844167995	41.857975085733
"ENSG00000003137_CYP26B1"	7.08085061231694	2.7921498695533	5.47843417375791	5.23813497024797	12.6712567436306	5.65648311969365
"ENSG00000003147_ICA1"	36.2893593881243	36.2979483041929	33.7836774048404	32.4764368155374	36.9578321689226	50.9083480772428
"ENSG00000003249_DBNDD1"	10.6212759184754	11.1685994782132	13.6960854343948	12.5715239285951	14.783132867569	12.444262863326
"ENSG00000003393_ALS2"	96.4765895928183	91.2102290720745	69.3934995342669	95.334056458513	80.2512927096605	87.1098400432822
"ENSG00000003400_CASP10"	67.2680808170109	74.4573298547547	61.17584827363	111.048461369257	52.7969030984609	65.6152041884463
"ENSG00000003402_CFLAR"	142.502118572878	107.823520795917	114.28013686459	109.571307307647	130.01765357027	89.6891963458625
"ENSG00000003436_TFPI"	64.8163362924962	67.0115968692792	75.7393524522031	96.3816834525626	61.0226606012011	55.3317178768433
"ENSG00000003509_NDUFAF7"	21.7647645696092	37.6474874078104	36.5228944917194	34.5716908036366	41.1182281330813	21.4946358548359
"ENSG00000003756_RBM5"	226.348240885976	209.16925389447	198.657153864085	184.256635713443	188.907319286293	193.779798714465
"ENSG00000003987_MTMR7"	8.85106326539617	6.51501636229104	6.39150653605089	7.33338895834716	10.907840180142	6.78777974363238
"ENSG00000003989_SLC7A2"	15.9319138777131	7.44573298547547	8.21765126063687	13.6191509226447	12.6712567436306	14.7068561112035
"ENSG00000004059_ARF5"	97.2200789071116	102.378828550288	109.568683475158	110.000834375207	102.425992011014	80.0618620761439
"ENSG00000004139_SARM1"	24.9865515982134	32.4447814842094	27.6843540247233	27.6468763729688	25.3108353454021	20.1936447373063
"ENSG00000004142_POLDIP2"	123.914885715546	140.53821010085	120.525551822674	143.524898184794	129.880381622214	134.624298248709
"ENSG00000004399_PLXND1"	231.01275122684	229.887005926555	183.52754482089	149.810660149092	168.950089915075	151.59374760779
"ENSG00000004455_AK2"	301.821257350009	248.501338390244	279.400142861653	305.907082262481	293.550781227442	337.126393933742
"ENSG00000004468_CD38"	26.5531897961885	6.51501636229104	6.39150653605089	19.9049128869423	14.783132867569	7.91907636757111
"ENSG00000004478_FKBP4"	356.644743215873	357.739548453401	325.966833338596	379.921929392085	341.067994016057	375.205838295519
"ENSG00000004487_KDM1A"	116.834035103229	144.261076593587	117.786334735795	127.81049327405	92.9225494532911	130.099111752954
"ENSG00000004534_RBM6"	87.6255263274221	118.201011144423	126.003985996432	105.810326399009	110.873496506768	87.1098400432822
"ENSG00000004660_CAMKK1"	19.4723391838716	20.4757657100575	19.1745196081527	29.3335558333886	20.0628231774151	16.969449359081
"ENSG00000004700_RECQL"	104.00884443167	87.2732977560044	121.338186225115	84.7844526284336	111.211396686598	98.4680581476271
"ENSG00000004766_VPS50"	31.8638277554262	34.4365150578241	27.3921708687896	29.3335558333886	43.2934605407379	42.9892717096717
"ENSG00000004776_HSPB6"	1.53123394491354	1.86143324636887	0.913072362292985	2.09525398809919	1.05593806196922	0
"ENSG00000004777_ARHGAP33"	34.5191467350451	39.0900981737462	34.6967497671334	48.1908417262813	26.3984515492304	24.8885257266521
"ENSG00000004779_NDUFAB1"	101.787227552056	109.824561535763	99.5248874899354	103.71507241091	108.761620382829	101.816696154486
"ENSG00000004799_PDK4"	7.08085061231694	6.51501636229104	8.21765126063687	6.28576196429756	9.50344255772296	5.65648311969365
"ENSG00000004809_SLC22A16"	37.1744657146639	32.5750818114552	38.3490392163054	29.3335558333886	31.6781418590765	41.857975085733
"ENSG00000004838_ZMYND10"	7.08085061231694	4.65358311592217	9.13072362292985	5.23813497024797	6.3356283718153	4.52518649575492
"ENSG00000004846_ABCB5"	7.96595693885655	10.2378828550288	8.21765126063687	7.33338895834716	5.27969030984609	9.05037299150984
"ENSG00000004848_ARX"	1.77021265307923	6.51501636229104	4.56536181146492	3.14288098214878	4.22375224787687	1.13129662393873
"ENSG00000004864_SLC25A13"	84.0851010212636	60.4965805069882	64.8281377228019	89.0482944942155	58.076593408307	56.5648311969365
"ENSG00000004866_ST7"	47.7957416331393	32.5750818114552	40.1751839408913	63.9052466370252	21.3405082323979	45.7156965733641
"ENSG00000004897_CDC27"	179.676584287542	151.650966581672	159.787663401272	155.006890039578	131.960579604293	144.805967864157
"ENSG00000004939_SLC4A1"	6.19574428577732	4.65358311592217	6.39150653605089	11.5238969345455	3.16781418590765	6.78777974363238
"ENSG00000004948_CALCR"	5.3106379592377	1.86143324636887	7.30457889834388	3.14288098214878	6.3356283718153	7.91907636757111
"ENSG00000004961_HCCS"	17.7021265307923	20.4757657100575	33.7836774048404	38.762198779835	27.4543896111997	21.4946358548359
