"lthscr_mecom1.genes.results"	"lthscr_mecom2.genes.results"	"lthscr_mecom3.genes.results"	"lthsc_mecom1.genes.results"	"lthsc_mecom2.genes.results"	"lthsc_mecom3.genes.results"
"ENSG00000001626_CFTR"	7.5749666618047	3.75765727635813	3.25106248477966	3.55845825806265	13.1688783324612	6.40326704344736
"ENSG00000001629_ANKIB1"	72.383014768356	67.6378309744464	79.3259246286238	77.0999289246907	75.421757722278	92.207045425642
"ENSG00000001630_CYP51A1"	201.132198130163	228.756780841492	224.973523946753	250.218923179438	270.345100457854	238.201534016242
"ENSG00000001631_KRIT1"	64.8080481065513	73.2743168889836	66.6987979377396	65.2384013978152	57.4641963598309	88.3650851995735
"ENSG00000002016_RAD52"	24.4082259102596	31.9400868490441	28.609349866061	32.0261243225638	25.140585907426	29.4550283998578
"ENSG00000002330_BAD"	53.0247666326329	46.7828330906588	45.9115044100584	33.2122770752514	59.7029056763493	27.8798247071698
"ENSG00000002549_LAP3"	119.51614066403	97.6896950421206	116.192973206025	123.312440169398	102.932741729547	139.565608478979
"ENSG00000002586_CD99"	161.599288785167	148.427462416146	142.396536833349	160.130621612819	154.435027717045	153.678409042737
"ENSG00000002587_HS3ST1"	20.1999110981459	28.182429572686	26.0084998782373	26.0953605591261	28.7320981799154	34.5776420346157
"ENSG00000002726_AOC1"	9.25829258665018	14.091214786343	11.7038249452068	13.047680279563	15.5632198474542	12.8065340868947
"ENSG00000002745_WNT16"	4.20831481211372	1.87882863817907	2.60084998782373	8.30306926881284	3.59151227248943	5.12261363475789
"ENSG00000002746_HECW1"	14.3082703611866	12.2123861481639	9.10297495738306	2.3723055053751	10.7745368174683	20.4904545390315
"ENSG00000002822_MAD1L1"	61.4413962568603	63.8801736980883	76.0748621438441	130.47680279563	68.2387331772991	71.7165908866104
"ENSG00000002834_LASP1"	169.174255446972	156.882191287952	160.602486748115	182.667523913882	169.9982475645	129.345994277637
"ENSG00000002919_SNX11"	22.7248999854141	36.6371584444918	20.8067999025898	26.0953605591261	23.9434151499295	25.6130681737894
"ENSG00000002933_TMEM176A"	10.0999555490729	0	3.9012749817356	11.8615275268755	5.98585378748238	3.84196022606841
"ENSG00000003056_M6PR"	284.330581965651	282.275214600023	254.532184058369	300.559246003498	266.945135506564	271.44729650582
"ENSG00000003096_KLHL13"	43.7664740459827	36.6371584444918	40.9633873082238	36.770735333314	46.6896595423626	47.3841761215104
"ENSG00000003137_CYP26B1"	8.41662962422744	9.39414319089533	3.25106248477966	5.93076376343774	14.3660490899577	6.40326704344736
"ENSG00000003147_ICA1"	47.1331258956737	50.7283732308348	30.5599873569288	36.770735333314	41.9009765123767	57.6294033910262
"ENSG00000003249_DBNDD1"	17.6749222108776	16.9094577436116	11.7038249452068	14.2338330322506	16.7603906049507	14.0871874955842
"ENSG00000003393_ALS2"	74.9080036556242	63.8801736980883	81.9267746164475	107.939900494567	90.9849775697322	98.6103124690893
"ENSG00000003400_CASP10"	62.2830592192831	46.0313016353871	66.9718871864611	125.73219178488	59.8585378748238	74.2778977039893
"ENSG00000003402_CFLAR"	120.913301181651	118.384992491663	112.486761973376	124.059716403591	147.407635370541	101.530202240901
"ENSG00000003436_TFPI"	57.0142490745167	43.2130586781185	56.8675849837659	109.126053247254	69.1844980757214	62.636758219002
"ENSG00000003509_NDUFAF7"	21.8832370229913	21.6065293390593	27.7510693700792	39.1430408386891	46.6178292969128	24.3324147651
"ENSG00000003756_RBM5"	211.324736605103	221.335407720685	209.96011739204	208.620546142686	214.17384851612	219.36312237442
"ENSG00000003987_MTMR7"	3.36665184969098	5.06344317989258	7.80254996347119	8.30306926881284	12.3667739249386	7.68392045213683
"ENSG00000003989_SLC7A2"	10.9416185114957	8.4547288718058	8.45276246042713	15.4199857849381	14.3660490899577	16.6484943129631
"ENSG00000004059_ARF5"	137.889643133718	147.488048097057	131.297409510311	124.546039032193	116.125563477158	90.6318417329539
"ENSG00000004139_SARM1"	33.2625202749468	28.3421300069312	34.6563260877512	31.3025711434244	28.6961830571905	22.8596633451071
"ENSG00000004142_POLDIP2"	201.999110981459	186.004035179728	236.677348891959	162.502927118194	147.252003172067	152.397755634047
"ENSG00000004399_PLXND1"	197.790796169345	217.004707709682	243.829686358475	169.619843634319	191.547321199436	171.607556764389
"ENSG00000004455_AK2"	409.048199737454	410.524057442126	373.872185749661	346.356603784764	332.81347058402	381.634715789463
